x              var(f(x))      var(g^2(x))    
-6.6000e-01    +6.1202e-02    +8.0402e-02   
-6.7000e-01    +6.1892e-02    +8.1945e-02   
-6.8000e-01    +6.2589e-02    +8.3477e-02   
-6.9000e-01    +6.3291e-02    +8.4997e-02   
-7.0000e-01    +6.3998e-02    +8.6503e-02   
-7.1000e-01    +6.4708e-02    +8.7993e-02   
-7.2000e-01    +6.5422e-02    +8.9466e-02   
-7.3000e-01    +6.6137e-02    +9.0919e-02   
-7.4000e-01    +6.6853e-02    +9.2352e-02   
-7.5000e-01    +6.7568e-02    +9.3762e-02   
-7.6000e-01    +6.8282e-02    +9.5146e-02   
-7.7000e-01    +6.8993e-02    +9.6505e-02   
-7.8000e-01    +6.9699e-02    +9.7834e-02   
-7.9000e-01    +7.0398e-02    +9.9133e-02   
-8.0000e-01    +7.1090e-02    +1.0040e-01   
-8.1000e-01    +7.1773e-02    +1.0163e-01   
-8.2000e-01    +7.2444e-02    +1.0282e-01   
-8.3000e-01    +7.3101e-02    +1.0398e-01   
-8.4000e-01    +7.3744e-02    +1.0509e-01   
-8.5000e-01    +7.4369e-02    +1.0616e-01   
-8.6000e-01    +7.4974e-02    +1.0718e-01   
-8.7000e-01    +7.5557e-02    +1.0815e-01   
-8.8000e-01    +7.6115e-02    +1.0906e-01   
-8.9000e-01    +7.6647e-02    +1.0993e-01   
-9.0000e-01    +7.7148e-02    +1.1073e-01   
-9.1000e-01    +7.7618e-02    +1.1148e-01   
-9.2000e-01    +7.8051e-02    +1.1216e-01   
-9.3000e-01    +7.8446e-02    +1.1277e-01   
-9.4000e-01    +7.8800e-02    +1.1331e-01   
-9.5000e-01    +7.9109e-02    +1.1378e-01   
-9.6000e-01    +7.9370e-02    +1.1417e-01   
-9.7000e-01    +7.9579e-02    +1.1448e-01   
-9.8000e-01    +7.9733e-02    +1.1471e-01   
-9.9000e-01    +7.9828e-02    +1.1485e-01   
-1.0000e+00    +7.9861e-02    +1.1490e-01   
