x              mean(f(x))     mean(g^2(x))   
-7.9000e-01    -7.3505e-01    +2.6623e+00   
-8.0000e-01    -7.3652e-01    +2.6633e+00   
-8.1000e-01    -7.3768e-01    +2.6644e+00   
-8.2000e-01    -7.3840e-01    +2.6656e+00   
-8.3000e-01    -7.3874e-01    +2.6667e+00   
-8.4000e-01    -7.3882e-01    +2.6677e+00   
-8.5000e-01    -7.3864e-01    +2.6688e+00   
-8.6000e-01    -7.3819e-01    +2.6699e+00   
-8.7000e-01    -7.3751e-01    +2.6710e+00   
-8.8000e-01    -7.3650e-01    +2.6720e+00   
-8.9000e-01    -7.3506e-01    +2.6729e+00   
-9.0000e-01    -7.3318e-01    +2.6736e+00   
-9.1000e-01    -7.3134e-01    +2.6743e+00   
-9.2000e-01    -7.2919e-01    +2.6746e+00   
-9.3000e-01    -7.2691e-01    +2.6745e+00   
-9.4000e-01    -7.2421e-01    +2.6748e+00   
-9.5000e-01    -7.2052e-01    +2.6753e+00   
-9.6000e-01    -7.1641e-01    +2.6761e+00   
-9.7000e-01    -7.1197e-01    +2.6766e+00   
-9.8000e-01    -7.0732e-01    +2.6771e+00   
-9.9000e-01    -7.0242e-01    +2.6775e+00   
-1.0000e+00    -6.9738e-01    +2.6776e+00   
